iter	Passed	Remaining
0	1	116
1	2	102
2	3	97
3	4	99
4	5	97
5	5	93
6	7	96
7	8	95
8	9	94
9	10	92
10	11	91
11	12	89
12	13	87
13	13	85
14	14	84
15	15	82
16	16	80
17	17	79
18	18	77
19	19	76
20	20	75
21	21	74
22	22	75
23	23	75
24	24	74
25	25	73
26	26	72
27	27	70
28	28	69
29	29	68
30	30	67
31	31	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	60
38	38	59
39	39	58
40	39	57
41	40	55
42	41	54
43	42	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	48	45
52	49	44
53	51	43
54	51	42
55	52	41
56	54	40
57	55	39
58	56	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	62	32
66	62	31
67	63	30
68	64	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	18
81	77	17
82	78	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	93	3
96	94	2
97	96	1
98	97	0
99	98	0
